env,learning_rate,bias,mean_ht,std_ht
balanced,0.3,0.3,0.4997999011868106,0.07645110645677552
balanced,0.3,0.4,0.49989708844061265,0.07286581141596578
balanced,0.3,0.5,0.49988649211755715,0.054423631940646804
balanced,0.3,0.6,0.49976687846303086,0.045636513882554124
balanced,0.3,0.7,0.5002356194528347,0.036182426180900625
balanced,0.3,0.8,0.5011728366309709,0.027828845164364357
balanced,0.3,0.9,0.5000909028707861,0.022746878075680266
balanced,0.3,1.0,0.4995335133929274,0.02212512912380499
balanced,0.4,0.0,0.5009261313375215,0.10950826996620029
balanced,0.4,0.1,0.4993379792023287,0.09421694338872079
balanced,0.4,0.2,0.5007220274697212,0.08595391368009281
balanced,0.4,0.3,0.4991127981226267,0.08007370751276066
balanced,0.4,0.4,0.49982498050166163,0.06682030851586412
balanced,0.4,0.5,0.5001322940404087,0.053012539712747324
balanced,0.4,0.6,0.49979690222574963,0.04458551547021793
balanced,0.4,0.7,0.5001204609350482,0.03607496794725779
balanced,0.4,0.8,0.5001859613755957,0.027639944887326167
balanced,0.4,0.9,0.5001129541878547,0.022983404869852314
balanced,0.4,1.0,0.4987748456377878,0.021362502153103077
balanced,0.5,0.0,0.5004425868076068,0.10826534947163434
balanced,0.5,0.1,0.5010518302152487,0.09687278741570987
balanced,0.5,0.2,0.4997841605693548,0.08836822807015739
balanced,0.5,0.3,0.5002901738321361,0.07448467559852268
balanced,0.5,0.4,0.49990133075786986,0.06793843228134429
balanced,0.5,0.5,0.4999201602246126,0.053635795807895875
balanced,0.5,0.6,0.5000168546910823,0.04349711149964117
balanced,0.5,0.7,0.5004875371453434,0.03613533161407424
balanced,0.5,0.8,0.5002192008836575,0.028133233219880437
balanced,0.5,0.9,0.5003822860321616,0.021739223257025434
balanced,0.5,1.0,0.49890647796597193,0.023193906019360562
balanced,0.6,0.0,0.5016734684025372,0.10993366977664883
balanced,0.6,0.1,0.4995999321136684,0.09838465514859061
balanced,0.6,0.2,0.49982268801169893,0.08406278034469047
balanced,0.6,0.3,0.4992570346455501,0.07289761083477639
balanced,0.6,0.4,0.4997574005556018,0.06339410057955626
balanced,0.6,0.5,0.5000626087813206,0.05681992219180326
balanced,0.6,0.6,0.5002432657080664,0.04624134001509136
balanced,0.6,0.7,0.5005371323309863,0.03561840317196768
balanced,0.6,0.8,0.4997489641327178,0.028458801030974167
balanced,0.6,0.9,0.49869980274191794,0.022559436171615606
balanced,0.6,1.0,0.4995163926019857,0.02156845345299808
balanced,0.7,0.0,0.5004450737273681,0.10675976140483687
balanced,0.7,0.1,0.5005001755658718,0.09715268125649971
balanced,0.7,0.2,0.4993562480367385,0.09054826369165143
balanced,0.7,0.3,0.5007363987518617,0.07610907362204838
balanced,0.7,0.4,0.4998871316090891,0.06443610693092577
balanced,0.7,0.5,0.4999328980530648,0.05295422268101213
balanced,0.7,0.6,0.49986536057880576,0.04434181535785033
balanced,0.7,0.7,0.5006014033733147,0.037714297425350214
balanced,0.7,0.8,0.4997851902921982,0.02710503622802554
balanced,0.7,0.9,0.4998832084034501,0.02309979829076174
balanced,0.7,1.0,0.5000248995703435,0.02034172190595902
balanced,0.8,0.0,0.5007644291354594,0.10912489970694172
balanced,0.8,0.1,0.49849805874440584,0.09515487177770093
balanced,0.8,0.2,0.4990643955394285,0.08637081142408856
balanced,0.8,0.3,0.5001349311408027,0.0718085688564042
balanced,0.8,0.4,0.5001543753995067,0.06837171906551294
balanced,0.8,0.5,0.49985345130733716,0.05245579578550164
balanced,0.8,0.6,0.49991423978580063,0.04284825548575101
balanced,0.8,0.7,0.4996678540004288,0.036043384509735155
balanced,0.8,0.8,0.49999937805782113,0.028882715873725227
balanced,0.8,0.9,0.5009181828728745,0.024455083873445877
balanced,0.8,1.0,0.4987478604451829,0.02203010380453658
balanced,0.9,0.0,0.49960791396196963,0.10563678377079318
balanced,0.9,0.1,0.5000015979018109,0.0900415197171415
balanced,0.9,0.2,0.4988413044605718,0.08610245154209065
