bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
5,balanced,0.99,0.1493312029960727,0.1457160725453408,0.1457160725453408,0.2845528455284552,0.424015009380863,0.1568399724081863,0.0075087694121135
6,healthy,0.94,0.1547231775167573,0.4242803504380476,0.2847309136420525,0.2847309136420525,0.0062578222778473,0.1852555311052845,0.0305323535885272
6,unhealthy,0.99,0.1652306324272552,0.1028243601059135,0.3971756398940865,0.2992056487202118,0.2007943512797881,0.1900025685346603,0.0247719361074051
6,balanced,0.21,0.1389792878548689,0.1828778135048231,0.3617363344051446,0.0936495176848874,0.3617363344051446,0.1436838165171303,0.0047045286622614
7,healthy,1.0,0.1233578360383395,0.4405286343612334,0.2227116984826235,0.3318649045521292,0.0048947626040137,0.1396747497390008,0.0163169137006612
7,unhealthy,0.99,0.1667548786192582,0.231162632117286,0.3068530514831231,0.3068530514831231,0.1551312649164677,0.1636202130671673,-0.0031346655520909
7,balanced,0.08,0.1336907444185047,0.3318649045521292,0.2227116984826236,0.2227116984826236,0.2227116984826236,0.1445785821899091,0.0108878377714043
8,healthy,1.0,0.1476361077892499,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.1682098854327275,0.0205737776434776
8,unhealthy,1.0,0.1714268471109295,0.1278814489571899,0.1278814489571899,0.37211855104281,0.37211855104281,0.164149092250796,-0.0072777548601335
8,balanced,0.05,0.1354012562004702,0.4403131115459883,0.1139921722113503,0.3317025440313112,0.1139921722113503,0.1447510302577044,0.0093497740572342
9,healthy,1.0,0.1615691256364425,0.2498627127951674,0.1279516749038989,0.1279516749038989,0.4942339373970346,0.1738838091306097,0.0123146834941671
9,unhealthy,1.0,0.1813189166482534,0.3319808188860199,0.250092216894135,0.3319808188860199,0.0859461453338251,0.1795764408006704,-0.001742475847583
9,balanced,0.01,0.1411518660871546,0.0205761316872428,0.0205761316872428,0.4794238683127572,0.4794238683127572,0.1653421184156484,0.0241902523284937
10,healthy,0.86,0.1499328699584653,0.3319808188860199,0.2500922168941349,0.2500922168941349,0.16783474732571,0.1780284545657098,0.0280955846072444
10,unhealthy,0.99,0.154152496297276,0.250092216894135,0.3319808188860199,0.3319808188860199,0.0859461453338251,0.148795772666609,-0.0053567236306669
10,balanced,0.09,0.1269878160327834,0.2664298401420959,0.2007104795737122,0.2664298401420959,0.2664298401420959,0.1585577063902835,0.0315698903575001
